기간	자치구	세대	인구	인구	인구	인구	인구	인구	인구	인구	인구	인구밀도	인구밀도	세대당인구	65세이상고령자
기간	자치구	세대	합계	합계	합계	한국인	한국인	한국인	등록외국인	등록외국인	등록외국인	인구밀도	인구밀도	세대당인구	65세이상고령자
기간	자치구	세대	계	남자	여자	계	남자	여자	계	남자	여자	인구밀도(명/㎢)	면적(㎢)	세대당인구	65세이상고령자
2010	강남구	234,345	577,070	277,932	299,138	570,095	274,303	295,792	6,975	3,629	3,346	14,596	39.54	2.43	44,229
2010	송파구	264,364	693,144	339,868	353,276	685,279	336,359	348,920	7,865	3,509	4,356	20,460	33.88	2.59	53,156
2010	강동구	190,152	496,939	248,588	248,351	491,871	246,492	245,379	5,068	2,096	2,972	20,217	24.58	2.59	39,500
2011	합계	4,192,752	10,528,774	5,208,492	5,320,282	10,249,679	5,073,899	5,175,780	279,095	134,593	144,502	17,397	605.21	2.44	1,049,425
2011	종로구	76,688	177,419	88,107	89,312	168,382	83,931	84,451	9,037	4,176	4,861	7,421	23.91	2.2	22,939
2011	중구	61,475	141,567	71,137	70,430	133,193	67,065	66,128	8,374	4,072	4,302	14,212	9.96	2.17	18,099
2011	용산구	112,617	259,288	126,735	132,553	246,501	120,183	126,318	12,787	6,552	6,235	11,857	21.87	2.19	31,837
2011	성동구	126,148	308,767	154,511	154,256	300,711	150,655	150,056	8,056	3,856	4,200	18,325	16.85	2.38	32,767
2011	광진구	158,472	386,673	190,867	195,806	371,936	184,103	187,833	14,737	6,764	7,973	22,661	17.06	2.35	33,613
2011	동대문구	157,823	378,534	189,538	188,996	365,486	183,925	181,561	13,048	5,613	7,435	26,653	14.2	2.32	44,368
2011	중랑구	175,115	428,672	214,258	214,414	423,706	212,291	211,415	4,966	1,967	2,999	23,175	18.5	2.42	43,745
2011	성북구	199,398	494,422	243,639	250,783	485,171	239,726	245,445	9,251	3,913	5,338	20,125	24.57	2.43	55,213
2011	강북구	142,527	348,740	172,309	176,431	345,054	170,906	174,148	3,686	1,403	2,283	14,780	23.6	2.42	43,507
2011	도봉구	139,348	367,949	181,911	186,038	365,573	181,004	184,569	2,376	907	1,469	17,774	20.7	2.62	39,810
2011	노원구	225,104	608,062	297,308	310,754	603,930	295,551	308,379	4,132	1,757	2,375	17,160	35.44	2.68	58,642
2011	은평구	197,582	498,350	244,730	253,620	493,634	242,779	250,855	4,716	1,951	2,765	16,782	29.69	2.5	56,595
2011	서대문구	134,730	324,529	158,160	166,369	314,852	154,033	160,819	9,677	4,127	5,550	18,434	17.6	2.34	40,041
2011	마포구	168,640	398,627	193,539	205,088	389,493	189,243	200,250	9,134	4,296	4,838	16,720	23.84	2.31	42,610
2011	양천구	182,677	505,605	251,346	254,259	500,210	248,927	251,283	5,395	2,419	2,976	29,049	17.41	2.74	41,110
2011	강서구	223,490	575,846	283,662	292,184	569,072	280,274	288,798	6,774	3,388	3,386	13,901	41.43	2.55	52,314
2011	구로구	171,064	458,908	232,056	226,852	427,468	215,474	211,994	31,440	16,582	14,858	22,806	20.12	2.5	41,992
2011	금천구	103,600	264,256	135,604	128,652	243,438	124,665	118,773	20,818	10,939	9,879	20,326	13	2.35	25,089
2011	영등포구	168,850	439,555	221,913	217,642	397,443	199,987	197,456	42,112	21,926	20,186	17,892	24.57	2.35	43,891
2011	동작구	167,099	413,658	203,341	210,317	401,408	197,672	203,736	12,250	5,669	6,581	25,296	16.35	2.4	44,287
2011	관악구	246,979	546,350	276,675	269,675	526,397	267,145	259,252	19,953	9,530	10,423	18,478	29.57	2.13	53,022
2011	서초구	168,988	439,012	212,636	226,376	433,564	209,902	223,662	5,448	2,734	2,714	9,340	47	2.57	39,035
2011	강남구	231,983	573,003	275,906	297,097	565,710	271,991	293,719	7,293	3,915	3,378	14,501	39.51	2.44	47,187
2011	송파구	261,963	690,466	338,344	352,122	682,209	334,494	347,715	8,257	3,850	4,407	20,382	33.88	2.6	55,456
2011	강동구	190,392	500,516	250,260	250,256	495,138	247,973	247,165	5,378	2,287	3,091	20,359	24.59	2.6	42,256
2012	합계	4,177,970	10,442,426	5,159,665	5,282,761	10,195,318	5,041,336	5,153,982	247,108	118,329	128,779	17,255	605.18	2.44	1,110,995
2012	종로구	75,659	173,148	85,997	87,151	165,207	82,274	82,933	7,941	3,723	4,218	7,243	23.91	2.18	23,868
2012	중구	61,546	140,807	70,762	70,045	133,360	67,043	66,317	7,447	3,719	3,728	14,136	9.96	2.17	18,875
2012	용산구	110,706	255,294	124,708	130,586	243,232	118,461	124,771	12,062	6,247	5,815	11,674	21.87	2.2	33,027
2012	성동구	125,848	306,868	153,272	153,596	299,604	149,832	149,772	7,264	3,440	3,824	18,214	16.85	2.38	34,180
2012	광진구	158,534	384,269	189,367	194,902	371,313	183,528	187,785	12,956	5,839	7,117	22,520	17.06	2.34	35,759
2012	동대문구	157,650	375,683	187,851	187,832	363,258	182,661	180,597	12,425	5,190	7,235	26,453	14.2	2.3	46,795
2012	중랑구	174,313	423,655	211,708	211,947	419,295	210,043	209,252	4,360	1,665	2,695	22,904	18.5	2.41	46,476
