연도,자치구,인구,발생건수,인구 수 대비 사고비율
2009,광진구,386513,1567,0.4054197400863619
2009,구로구,449613,1485,0.33028404427807917
2009,금천구,263116,1008,0.3831009896775567
2009,노원구,615161,1729,0.2810646318606024
2009,도봉구,372398,920,0.24704751368159872
2009,동대문구,374277,1881,0.5025689529412708
2009,동작구,407973,1147,0.28114605623411354
2009,마포구,392313,1579,0.4024847506965102
2009,서대문구,336649,1155,0.3430873105222353
2009,서초구,431131,2101,0.4873228786610102
2009,성동구,316064,1169,0.36986180014174347
2009,성북구,484457,1778,0.367008836697581
2009,송파구,689296,2617,0.3796627283489241
2009,양천구,506684,1642,0.3240678608363398
2009,영등포구,441747,2160,0.48896766701301875
2009,용산구,251200,1248,0.4968152866242038
2009,은평구,470782,1609,0.34177177547144966
2009,종로구,177543,1478,0.8324743864866538
2009,중구,137861,1465,1.0626645679343687
2009,중랑구,429700,1887,0.43914358855015123
2010,강남구,577070,3315,0.5744537057895922
2010,강동구,496939,1310,0.26361384395267834
2010,강북구,350007,1230,0.3514215429977115
2010,강서구,580506,1720,0.2962932338339311
2010,관악구,549736,1722,0.31324126489806015
2010,광진구,388775,1442,0.37090862323966306
2010,구로구,452667,1474,0.32562568068801123
2010,금천구,264544,1058,0.39993347042457966
2010,노원구,615425,1597,0.2594954706097412
2010,도봉구,370734,904,0.2438405973015693
2010,동대문구,379343,1715,0.4520974421565707
2010,동작구,413814,1055,0.25494545858767464
2010,마포구,400464,1642,0.4100243717287946
2010,서대문구,333871,1063,0.31838644266797655
2010,서초구,440021,2025,0.46020530838300894
2010,성동구,316892,1021,0.3221917877384093
2010,성북구,497692,1501,0.30159214936145246
2010,송파구,693144,2445,0.35274055607492816
2010,양천구,505223,1380,0.27314670947284664
2010,영등포구,445648,2096,0.4703263562273363
2010,용산구,257143,1150,0.44722197376557016
2010,은평구,492925,1392,0.2823959020134909
2010,종로구,179362,1346,0.7504376623811063
2010,중구,141200,1467,1.0389518413597734
2010,중랑구,432302,1945,0.4499169562019144
2011,강남구,573003,3333,0.5816723472651976
2011,강동구,500516,1337,0.26712432769381994
2011,강북구,348740,1115,0.31972242931696965
2011,강서구,575846,1728,0.30008022978365745
2011,관악구,546350,1616,0.2957810927061408
2011,광진구,386673,1311,0.33904617079547833
2011,구로구,458908,1445,0.3148779276020466
2011,금천구,264256,1043,0.3946930249455074
2011,노원구,608062,1428,0.23484447309649342
2011,도봉구,367949,871,0.23671758857885197
